Категория: Все категории

Неделя,Видеокарты: (Россия)
2015-01-04,75
2015-01-11,66
2015-01-18,63
2015-01-25,65
2015-02-01,64
2015-02-08,65
2015-02-15,59
2015-02-22,65
2015-03-01,55
2015-03-08,60
2015-03-15,54
2015-03-22,59
2015-03-29,66
2015-04-05,62
2015-04-12,80
2015-04-19,82
2015-04-26,75
2015-05-03,68
2015-05-10,59
2015-05-17,65
2015-05-24,65
2015-05-31,65
2015-06-07,60
2015-06-14,59
2015-06-21,61
2015-06-28,66
2015-07-05,59
2015-07-12,58
2015-07-19,59
2015-07-26,72
2015-08-02,69
2015-08-09,64
2015-08-16,56
2015-08-23,57
2015-08-30,67
2015-09-06,58
2015-09-13,64
2015-09-20,53
2015-09-27,58
2015-10-04,60
2015-10-11,62
2015-10-18,60
2015-10-25,54
2015-11-01,65
2015-11-08,75
2015-11-15,72
2015-11-22,64
2015-11-29,64
2015-12-06,57
2015-12-13,70
2015-12-20,62
2015-12-27,67
2016-01-03,67
2016-01-10,61
2016-01-17,56
2016-01-24,58
2016-01-31,55
2016-02-07,56
2016-02-14,55
2016-02-21,58
2016-02-28,57
2016-03-06,57
2016-03-13,57
2016-03-20,53
2016-03-27,52
2016-04-03,47
2016-04-10,48
2016-04-17,45
2016-04-24,42
2016-05-01,38
2016-05-08,44
2016-05-15,39
2016-05-22,45
2016-05-29,51
2016-06-05,53
2016-06-12,54
2016-06-19,46
2016-06-26,50
2016-07-03,54
2016-07-10,43
2016-07-17,48
2016-07-24,53
2016-07-31,44
2016-08-07,48
2016-08-14,54
2016-08-21,53
2016-08-28,50
2016-09-04,46
2016-09-11,46
2016-09-18,43
2016-09-25,52
2016-10-02,42
2016-10-09,49
2016-10-16,52
2016-10-23,52
2016-10-30,55
2016-11-06,49
2016-11-13,50
2016-11-20,47
2016-11-27,47
2016-12-04,43
2016-12-11,51
2016-12-18,49
2016-12-25,57
2017-01-01,68
2017-01-08,56
2017-01-15,54
2017-01-22,56
2017-01-29,51
2017-02-05,51
2017-02-12,47
2017-02-19,54
2017-02-26,53
2017-03-05,48
2017-03-12,49
2017-03-19,49
2017-03-26,49
2017-04-02,47
2017-04-09,49
2017-04-16,44
2017-04-23,53
2017-04-30,43
2017-05-07,49
2017-05-14,38
2017-05-21,41
2017-05-28,44
2017-06-04,57
2017-06-11,68
2017-06-18,100
2017-06-25,84
2017-07-02,68
2017-07-09,62
2017-07-16,55
2017-07-23,52
2017-07-30,54
2017-08-06,52
2017-08-13,54
2017-08-20,54
2017-08-27,52
2017-09-03,54
2017-09-10,49
2017-09-17,49
2017-09-24,51
2017-10-01,46
2017-10-08,49
2017-10-15,45
2017-10-22,49
2017-10-29,53
2017-11-05,53
2017-11-12,57
2017-11-19,51
2017-11-26,60
2017-12-03,61
2017-12-10,59
2017-12-17,60
2017-12-24,65
2017-12-31,73
2018-01-07,88
2018-01-14,87
2018-01-21,76
2018-01-28,73
2018-02-04,72
2018-02-11,64
2018-02-18,64
2018-02-25,56
2018-03-04,59
2018-03-11,50
2018-03-18,58
2018-03-25,56
2018-04-01,48
2018-04-08,42
2018-04-15,40
2018-04-22,35
2018-04-29,45
2018-05-06,39
2018-05-13,36
2018-05-20,45
2018-05-27,38
2018-06-03,38
2018-06-10,44
2018-06-17,37
2018-06-24,46
2018-07-01,41
2018-07-08,43
2018-07-15,46
2018-07-22,37
2018-07-29,42
2018-08-05,35
2018-08-12,44
2018-08-19,50
2018-08-26,43
2018-09-02,42
2018-09-09,39
2018-09-16,39
2018-09-23,40
2018-09-30,37
2018-10-07,38
2018-10-14,35
2018-10-21,35
2018-10-28,39
2018-11-04,44
2018-11-11,39
2018-11-18,43
2018-11-25,46
2018-12-02,44
2018-12-09,46
2018-12-16,41
2018-12-23,45
2018-12-30,55
2019-01-06,52
2019-01-13,43
2019-01-20,45
2019-01-27,42
2019-02-03,45
2019-02-10,39
2019-02-17,47
2019-02-24,51
2019-03-03,41
2019-03-10,43
2019-03-17,38
2019-03-24,43
2019-03-31,32
2019-04-07,32
2019-04-14,35
2019-04-21,36
2019-04-28,35
2019-05-05,30
2019-05-12,30
2019-05-19,30
2019-05-26,35
2019-06-02,32
2019-06-09,35
2019-06-16,38
2019-06-23,34
2019-06-30,39
2019-07-07,37
2019-07-14,34
2019-07-21,38
2019-07-28,39
2019-08-04,35
2019-08-11,37
2019-08-18,41
2019-08-25,40
2019-09-01,39
2019-09-08,36
2019-09-15,36
2019-09-22,38
2019-09-29,37
2019-10-06,34
2019-10-13,37
2019-10-20,37
2019-10-27,39
2019-11-03,39
2019-11-10,39
2019-11-17,39
2019-11-24,39
2019-12-01,39
2019-12-08,41
2019-12-15,40
2019-12-22,42
2019-12-29,45
