#{"t_start": 1652200077.9089417, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,521,0.387274
1.0,638,0.631449
4.0,1217,1.091773
0.0,522,1.289931
1.0,715,1.55912
3.0,1014,1.957386
1.0,706,2.241587
1.0,621,2.476753
0.0,533,2.762955
6.0,1453,3.307357
0.0,537,3.507483
9.0,1623,4.139928
1.0,691,4.403128
3.0,1009,4.783398
0.0,529,4.985526
0.0,513,5.179665
0.0,526,5.385811
1.0,626,5.638989
0.0,536,5.83913
0.0,517,6.089308
1.0,725,6.455569
3.0,1031,6.888873
0.0,527,7.100022
0.0,514,7.317176
1.0,640,7.579381
3.0,1014,7.984649
3.0,1038,8.672135
0.0,501,9.133462
0.0,526,9.617804
0.0,526,9.941031
2.0,832,10.279273
1.0,610,10.510452
2.0,923,10.859683
1.0,713,11.128889
0.0,528,11.334016
4.0,1270,11.839374
0.0,510,12.051525
1.0,629,12.303703
0.0,509,12.797052
0.0,542,13.008202
1.0,627,13.450515
0.0,518,13.835787
6.0,1703,14.967587
4.0,1195,15.421922
1.0,622,15.681111
1.0,722,15.958305
5.0,1407,16.667789
2.0,788,16.997022
2.0,830,17.353291
2.0,814,17.684526
2.0,823,17.996747
2.0,905,18.376015
1.0,716,18.674209
1.0,621,18.919399
5.0,1419,19.596862
2.0,829,19.923092
2.0,909,23.998974
1.0,721,24.286179
0.0,507,24.493324
3.0,1093,25.238854
2.0,822,25.673159
0.0,544,26.038418
0.0,525,26.348636
0.0,533,26.582805
0.0,521,26.793959
8.0,1419,27.365374
0.0,525,27.572521
0.0,526,27.776664
2.0,801,28.095872
1.0,642,28.341046
1.0,701,28.604249
0.0,500,28.809394
3.0,1105,29.25571
1.0,615,29.497881
0.0,524,29.730028
3.0,1119,30.329452
0.0,519,30.605651
3.0,940,31.070978
1.0,645,31.3862
0.0,509,31.685413
1.0,720,32.062679
3.0,1111,32.692125
2.0,810,33.117426
0.0,530,33.370603
2.0,910,33.870957
2.0,810,34.282248
3.0,1011,34.894681
2.0,917,35.29897
2.0,919,35.759294
1.0,702,36.037507
1.0,624,36.288667
0.0,536,36.496814
0.0,522,36.713969
0.0,516,36.939127
0.0,510,37.135266
1.0,721,37.489516
0.0,509,37.768714
0.0,526,38.037922
1.0,695,38.476215
5.0,1411,39.09165
0.0,533,39.303804
0.0,500,39.51595
0.0,530,39.747115
2.0,761,40.032333
3.0,1019,40.4326
2.0,814,40.751824
1.0,719,41.02902
3.0,886,41.37128
1.0,633,41.619437
0.0,501,41.812574
0.0,514,42.010716
0.0,512,42.208853
0.0,530,42.436015
1.0,705,42.716218
2.0,926,43.091479
1.0,721,43.404701
0.0,521,43.634881
2.0,922,47.5056
4.0,1214,47.993963
2.0,916,48.353218
5.0,1409,48.885596
4.0,1144,49.365917
0.0,528,49.561072
0.0,520,49.758194
1.0,636,50.012381
3.0,1010,50.391642
2.0,828,50.704881
0.0,521,50.902004
1.0,702,51.226233
1.0,708,51.543458
3.0,929,51.91472
2.0,826,52.223938
0.0,533,52.433103
4.0,1227,52.916446
3.0,948,53.268695
0.0,517,53.461814
0.0,517,53.657953
1.0,695,53.924142
1.0,635,54.166329
5.0,1217,55.007908
0.0,493,55.372167
2.0,913,55.771448
0.0,505,55.974609
1.0,714,56.247784
1.0,652,56.533988
2.0,824,56.893241
1.0,698,57.23148
3.0,962,57.66879
1.0,712,57.985013
1.0,642,58.229203
0.0,512,58.426342
2.0,804,58.746551
2.0,907,59.103822
0.0,496,59.290937
0.0,514,59.517097
3.0,931,59.940397
4.0,1283,60.732958
0.0,513,61.051183
3.0,1103,61.477483
1.0,630,61.713668
0.0,526,61.911791
4.0,1090,62.319079
1.0,641,62.565252
2.0,831,62.885481
3.0,936,63.234726
0.0,510,63.426879
1.0,652,63.668033
2.0,815,63.980255
8.0,1481,64.557662
0.0,525,64.7538
0.0,512,64.948939
0.0,544,65.212125
0.0,525,65.534353
0.0,506,65.725488
1.0,646,65.967677
1.0,721,70.072562
3.0,1019,70.455833
1.0,691,70.719021
0.0,518,70.936173
2.0,819,71.311439
0.0,509,71.665689
0.0,529,71.966902
0.0,522,72.217079
0.0,524,72.426244
0.0,537,72.649385
0.0,536,72.945595
5.0,1351,73.553041
0.0,536,73.763175
1.0,705,74.163456
0.0,529,74.468672
0.0,538,74.886968
1.0,706,75.31227
0.0,534,75.642502
2.0,807,75.951738
2.0,826,76.260941
1.0,697,76.575162
3.0,1001,77.100535
1.0,652,77.363721
2.0,810,77.680943
2.0,762,77.97215
0.0,514,78.18932
3.0,924,78.669644
1.0,689,79.105952
1.0,701,79.388151
0.0,534,79.595298
1.0,651,79.860486
2.0,902,80.207732
0.0,532,80.412875
2.0,833,80.741111
2.0,858,81.069358
2.0,915,81.413586
1.0,692,81.691782
1.0,634,82.015013
1.0,695,82.362257
2.0,907,82.722523
1.0,707,83.003709
0.0,509,83.198864
1.0,698,83.464035
0.0,509,83.656172
0.0,526,83.878327
0.0,537,84.120498
1.0,699,84.442727
4.0,1202,85.103194
0.0,522,85.355372
1.0,639,85.609553
1.0,646,85.851722
5.0,1295,86.394108
2.0,816,86.702339
1.0,710,86.984541
0.0,532,87.196676
1.0,721,87.472887
5.0,1399,88.134337
1.0,702,88.408548
1.0,698,88.683743
1.0,702,88.945911
0.0,529,89.14607
0.0,522,89.341208
0.0,503,92.828659
1.0,704,93.156891
4.0,1297,93.845376
0.0,518,94.055527
1.0,706,94.382757
0.0,506,95.000195
0.0,509,95.489541
2.0,826,96.153009
1.0,644,96.573309
2.0,912,96.972594
0.0,533,97.223772
2.0,904,97.73513
0.0,544,98.055354
0.0,544,98.406603
3.0,904,98.937979
3.0,1107,99.421321
1.0,703,99.693513
1.0,729,100.006737
0.0,536,100.207894
0.0,524,100.434036
0.0,532,100.673207
1.0,661,100.944415
1.0,714,101.222608
0.0,514,101.429759
1.0,621,101.68292
0.0,522,101.909082
0.0,527,102.136241
0.0,536,102.371424
0.0,534,102.588563
0.0,501,102.789705
3.0,1085,103.245025
4.0,1213,103.895485
0.0,532,104.106652
2.0,824,104.441874
0.0,507,104.639013
1.0,622,104.916208
3.0,884,105.356519
0.0,544,105.604695
1.0,724,105.879889
2.0,764,106.182103
1.0,723,106.463301
0.0,517,106.663444
0.0,523,106.864587
2.0,818,107.189815
1.0,698,107.483023
0.0,536,107.708199
2.0,907,108.088452
0.0,500,108.291596
1.0,713,108.625848
0.0,544,108.83498
2.0,808,109.170216
1.0,631,109.408386
1.0,693,109.677575
