#{"t_start": 1652199126.6463993, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3297,1.406246
-21.0,3057,2.610143
-21.0,3657,3.948497
-21.0,3943,5.428126
-21.0,3545,6.76827
-19.0,4598,8.453311
-21.0,3284,9.687681
-21.0,3622,11.031445
-19.0,4343,12.640852
-21.0,3320,14.146235
-18.0,4173,31.615857
-19.0,4354,33.186592
-19.0,3754,34.551671
-21.0,4013,36.004808
-21.0,3281,37.176713
-20.0,4057,38.645461
-20.0,3349,39.879846
-21.0,3057,40.991367
-20.0,4221,42.509549
-21.0,3305,43.712667
-21.0,3417,45.16581
-20.0,3848,62.82712
-20.0,3725,64.249008
-20.0,3720,66.702158
-20.0,3840,68.374048
-21.0,3057,69.514684
-20.0,3608,70.874073
-21.0,3545,72.217837
-20.0,4116,73.724989
-20.0,3746,75.119105
-19.0,3793,76.634745
-21.0,3529,77.994116
-21.0,3372,95.317444
-21.0,3684,96.692458
-20.0,4156,98.223723
-21.0,3537,99.504986
-19.0,3747,100.926908
-21.0,3409,102.208155
-20.0,3684,103.567544
-19.0,4589,105.27813
-21.0,3537,107.594097
-19.0,4103,109.350116
-21.0,3545,110.697118
-19.0,3749,129.273943
-21.0,3537,130.572948
-21.0,3380,131.808852
-19.0,4227,133.340117
-21.0,3537,134.655045
-21.0,3414,135.887612
-20.0,3516,137.170118
-21.0,4025,138.644677
-21.0,3301,139.894675
-20.0,4657,141.660715
-21.0,4025,143.129495
